MVA base
100
Rated Frequency 60 HZ
39 Bus Load flow
test system
 Bus Number, Bus Voltage in KV, Bus Type, p.u Voltage, theta, PMU location

'BUS1'   , 345.0000,  1,  1.0474,      -8.44, 0
'BUS10'  , 345.0000,  1,  1.0172,      -5.43, PMU 3 
'BUS11'  , 345.0000,  1,  1.0127,      -6.28, 0 
'BUS12'  , 345.0000,  1,  1.0002,      -6.24, 0 
'BUS13'  , 345.0000,  1,  1.0143,       -6.1, 0
'BUS14'  , 345.0000,  1,  1.0117,      -7.65, 0 
'BUS15'  , 345.0000,  1,  1.0154,      -7.73, 0 
'BUS16'  , 345.0000,  1,  1.0318,      -6.19, 0 
'BUS17'  , 345.0000,  1,  1.0336,       -7.3, 0 
'BUS18'  , 345.0000,  1,  1.0309,      -8.22, 0
'BUS19'  , 345.0000,  1,  1.0499,      -1.02, PMU 5 
'BUS2'   , 345.0000,  1,  1.0487,      -5.75, PMU 6 
'BUS20'  , 110.0000,  1,  0.9912,      -2.01, 0 
'BUS21'  , 345.0000,  1,  1.0318,      -3.78, 0 
'BUS22'  , 345.0000,  1,  1.0498,       0.67, PMU 4 
'BUS23'  , 345.0000,  1,  1.0448,       0.47, 0 
'BUS24'  , 345.0000,  1,  1.0373,      -6.07, 0 
'BUS25'  , 345.0000,  1,  1.0576,      -4.36, 0 
'BUS26'  , 345.0000,  1,  1.0521,      -5.52, 0
'BUS27'  , 345.0000,  1,  1.0377,      -7.49, 0 
'BUS28'  , 345.0000,  1,  1.0501,      -2.01, 0 
'BUS29'  , 345.0000,  1,  1.0499,       0.75, PMU 2 
'BUS3'   , 345.0000,  1,  1.0302,       -8.6, 0 
'BUS30x1',  13.8000,  2,  1.0475,   -33.3322, 0 
'BUS31x1',  13.8000,  3,   0.982,        -30, 0 
'BUS32x1',  13.8000,  2,  0.9831,   -27.4295, 0 
'BUS33x1',  13.8000,  2,  0.9972,   -25.8034, 0 
'BUS34x1',  13.8000,  2,  1.0123,   -26.8231, 0 
'BUS35x1',  13.8000,  2,  1.0493,    -24.368, 0
'BUS36x1',  13.8000,  2,  1.0635,   -21.6752, 0 
'BUS37x1',  13.8000,  2,  1.0278,    -27.577, 0 
'BUS38x1',  13.8000,  2,  1.0265,   -22.1904, 0 
'BUS39'  , 345.0000,  2,    1.03,     -10.05, PMU 1 
'BUS4'   , 345.0000,  1,  1.0039,       -9.6, 0 
'BUS5'   , 345.0000,  1,  1.0053,      -8.61, PMU 7 
'BUS6'   , 345.0000,  1,  1.0077,      -7.95, PMU 8 
'BUS7'   , 345.0000,  1,   0.997,     -10.12, 0 
'BUS8'   , 345.0000,  1,   0.996,     -10.61, 0 
'BUS9'   , 345.0000,  1,  1.0282,     -10.32, 0 
